datereceived,product,banks,community
"10/17/2012","Mortgage","JPMorgan Chase","Black"
"08/09/2013","Mortgage","Nationstar Mortgage","Black"
"02/22/2013","Mortgage","Wells Fargo","Black"
"11/14/2013","Mortgage","Nationstar Mortgage","Black"
"05/07/2013","Credit reporting","Equifax","Black"
"07/26/2013","Mortgage","OneWest Bank","Black"
"04/04/2012","Bank account or service","Wells Fargo","Black"
"01/18/2013","Mortgage","Bank of America","Black"
"11/13/2013","Mortgage","Bank of America","Black"
"02/09/2012","Mortgage","Wells Fargo","Black"
"06/18/2013","Mortgage","Sovereign Bank","Black"
"01/30/2013","Mortgage","Bank of America","Black"
"05/22/2013","Mortgage","Other","Black"
"10/09/2012","Mortgage","JPMorgan Chase","Black"
"09/27/2012","Bank account or service","JPMorgan Chase","Black"
"12/28/2012","Consumer loan","JPMorgan Chase","Black"
"12/11/2012","Mortgage","Bank of America","Black"
"05/07/2013","Student loan","Other","Black"
"12/25/2012","Mortgage","Bank of America","Black"
"07/27/2012","Mortgage","U.S. Bancorp","Black"
"08/28/2013","Mortgage","Bank of America","Black"
"09/01/2012","Mortgage","Nationstar Mortgage","Black"
"05/09/2012","Credit card","Capital One","Black"
"01/11/2013","Mortgage","Ocwen","Black"
"05/21/2013","Student loan","JPMorgan Chase","Black"
"07/23/2013","Mortgage","Other","Black"
"08/02/2012","Mortgage","Bank of America","Black"
"03/20/2013","Mortgage","Select Portfolio Servicing, Inc","Black"
"05/11/2013","Mortgage","OneWest Bank","Black"
"04/24/2013","Mortgage","JPMorgan Chase","Black"
"11/29/2012","Mortgage","Ocwen","Black"
"08/12/2013","Mortgage","Ocwen","Asian"
"08/22/2013","Mortgage","Green Tree Servicing, LLC","Asian"
"08/12/2013","Mortgage","Ocwen","Asian"
"07/18/2013","Mortgage","Other","Asian"
"02/19/2013","Mortgage","Other","Asian"
"09/16/2013","Mortgage","Other","Asian"
"07/18/2013","Mortgage","Citibank","Asian"
"09/18/2013","Mortgage","Other","Asian"
"04/10/2013","Credit reporting","Experian","Asian"
"09/25/2012","Bank account or service","Bank of America","Asian"
"05/11/2012","Consumer loan","Other","Asian"
"07/19/2012","Credit card","Citibank","Asian"
"10/02/2013","Mortgage","JPMorgan Chase","Asian"
"08/23/2013","Mortgage","Ocwen","Asian"
"02/12/2013","Mortgage","Wells Fargo","Asian"
"12/07/2012","Mortgage","Bank of America","Asian"
"07/25/2013","Mortgage","Wells Fargo","Asian"
"01/31/2013","Mortgage","Citibank","Asian"
"08/07/2012","Mortgage","Bank of America","Asian"
"02/12/2013","Mortgage","Capital One","Asian"
"07/19/2013","Mortgage","Bank of America","Asian"
"08/22/2013","Mortgage","Bank of America","Asian"
"09/12/2013","Mortgage","SunTrust Bank","Asian"
"02/04/2013","Mortgage","Bank of America","Hispanic"
"01/16/2013","Bank account or service","Bank of America","Hispanic"
"06/28/2012","Mortgage","Other","Hispanic"
"10/31/2013","Money transfers","Other","Hispanic"
"09/20/2012","Mortgage","Citibank","Hispanic"
"07/25/2013","Bank account or service","Bank of America","Hispanic"
"02/10/2012","Mortgage","Bank of America","Hispanic"
"05/29/2012","Credit card","Discover","Hispanic"
"05/29/2012","Credit card","JPMorgan Chase","Hispanic"
"08/24/2012","Credit card","Capital One","Hispanic"
"05/31/2012","Mortgage","Wells Fargo","Hispanic"
"04/29/2013","Credit card","Capital One","Hispanic"
"01/17/2013","Mortgage","Nationstar Mortgage","Hispanic"
"12/17/2012","Credit card","Capital One","Hispanic"
"10/26/2012","Mortgage","Bank of America","Hispanic"
"07/17/2013","Mortgage","Bank of America","Hispanic"
"04/10/2013","Bank account or service","Wells Fargo","Hispanic"
"01/14/2013","Mortgage","Ocwen","Hispanic"
"09/23/2013","Credit card","Capital One","Hispanic"
"01/24/2013","Credit card","JPMorgan Chase","Mixed"
"05/10/2013","Credit reporting","Experian","Mixed"
"02/14/2013","Mortgage","Bank of America","Mixed"
"02/13/2013","Mortgage","Wells Fargo","Mixed"
"02/27/2013","Consumer loan","Other","Mixed"
"02/09/2012","Credit card","Capital One","Mixed"
"10/17/2012","Bank account or service","Wells Fargo","Mixed"
"07/30/2012","Bank account or service","Bank of America","Mixed"
"02/26/2013","Credit card","Citibank","Mixed"
"02/03/2012","Credit card","GE Capital Retail","Mixed"
"08/26/2012","Bank account or service","Bank of America","Mixed"
"08/21/2012","Bank account or service","Other","Mixed"
"04/19/2012","Bank account or service","Wells Fargo","Mixed"
"05/15/2013","Bank account or service","JPMorgan Chase","Mixed"
"08/21/2013","Credit reporting","Equifax","Mixed"
"11/25/2013","Credit card","OneWest Bank","Mixed"
"02/06/2012","Mortgage","Bank of America","Mixed"
"03/27/2013","Bank account or service","Other","Mixed"
"01/24/2012","Credit card","U.S. Bancorp","Hispanic"
"10/23/2012","Mortgage","Bank of America","Hispanic"
"10/07/2012","Bank account or service","Wells Fargo","Hispanic"
"01/05/2012","Credit card","Discover","Hispanic"
"04/09/2013","Credit reporting","TransUnion","Hispanic"
"08/14/2012","Mortgage","U.S. Bancorp","Hispanic"
"04/15/2013","Credit card","Other","Hispanic"
"06/19/2012","Credit card","Wells Fargo","Hispanic"
"03/06/2013","Mortgage","Wells Fargo","Hispanic"
"01/07/2013","Bank account or service","Other","Hispanic"
"07/27/2012","Mortgage","Wells Fargo","Hispanic"
"07/15/2013","Bank account or service","Wells Fargo","Hispanic"
"01/17/2013","Mortgage","JPMorgan Chase","Hispanic"
"02/04/2013","Mortgage","Wells Fargo","Hispanic"
"12/03/2011","Credit card","GE Capital Retail","Hispanic"
"07/30/2012","Mortgage","Wells Fargo","Hispanic"
"05/13/2013","Credit card","Other","Hispanic"
"07/10/2013","Credit card","U.S. Bancorp","Hispanic"
"04/06/2013","Mortgage","JPMorgan Chase","Hispanic"
"04/27/2012","Credit card","JPMorgan Chase","Hispanic"
"06/13/2013","Mortgage","Nationstar Mortgage","Hispanic"
"04/25/2012","Mortgage","JPMorgan Chase","Hispanic"
"03/01/2012","Credit card","Bank of America","Hispanic"
"03/01/2012","Credit card","Citibank","Hispanic"
"08/19/2013","Money transfers","Other","Hispanic"
"09/07/2013","Credit card","Amex","Hispanic"
"04/12/2013","Credit card","Bank of America","Hispanic"
"07/31/2012","Mortgage","Wells Fargo","Hispanic"
"06/19/2012","Credit card","Capital One","Hispanic"
"04/05/2012","Mortgage","SunTrust Bank","Hispanic"
"12/19/2012","Credit reporting","Experian","Hispanic"
"01/23/2013","Mortgage","Bank of America","Hispanic"
"11/12/2013","Credit reporting","Equifax","Hispanic"
"04/27/2012","Bank account or service","U.S. Bancorp","Hispanic"
"07/10/2012","Credit card","Capital One","Hispanic"
"01/24/2012","Mortgage","JPMorgan Chase","Hispanic"
"10/12/2012","Student loan","Sallie Mae","Hispanic"
"03/01/2012","Credit card","Amex","Hispanic"
"09/19/2012","Mortgage","Bank of America","Hispanic"
"06/14/2012","Bank account or service","Wells Fargo","Hispanic"
"07/05/2013","Mortgage","JPMorgan Chase","Hispanic"
"06/13/2012","Mortgage","JPMorgan Chase","Hispanic"
"02/20/2013","Mortgage","Other","Hispanic"
"08/01/2013","Mortgage","Nationstar Mortgage","Hispanic"
"04/24/2013","Mortgage","JPMorgan Chase","Hispanic"
"02/22/2013","Mortgage","Bank of America","Hispanic"
"09/18/2012","Credit card","Citibank","Hispanic"
"04/17/2013","Bank account or service","Wells Fargo","Hispanic"
"07/10/2013","Mortgage","Bank of America","Hispanic"
"04/16/2012","Bank account or service","Wells Fargo","Hispanic"
"03/01/2012","Credit card","Discover","Hispanic"
"05/31/2012","Mortgage","Bank of America","Hispanic"
"01/24/2012","Mortgage","JPMorgan Chase","Hispanic"
"01/18/2013","Bank account or service","Wells Fargo","Hispanic"
"01/24/2013","Mortgage","Bank of America","Hispanic"
"03/04/2013","Bank account or service","Wells Fargo","Hispanic"
"11/08/2012","Mortgage","Bank of America","Hispanic"
"08/28/2012","Mortgage","Bank of America","Hispanic"
"06/19/2012","Bank account or service","Bank of America","Hispanic"
"01/05/2012","Credit card","Citibank","Hispanic"
"06/14/2012","Credit card","Capital One","Hispanic"
"08/31/2012","Mortgage","Ocwen","Hispanic"
"09/18/2012","Mortgage","Ocwen","Hispanic"
"05/14/2012","Bank account or service","Bank of America","Hispanic"
"06/01/2012","Mortgage","PNC Bank","Hispanic"
"07/24/2013","Bank account or service","HSBC","Hispanic"
"03/12/2013","Student loan","JPMorgan Chase","Hispanic"
"12/06/2012","Consumer loan","Other","Hispanic"
"10/03/2012","Consumer loan","Other","Hispanic"
"10/05/2012","Bank account or service","JPMorgan Chase","Hispanic"
"02/08/2013","Bank account or service","Bank of America","Hispanic"
"10/23/2012","Credit reporting","TransUnion","Hispanic"
"07/09/2012","Mortgage","Bank of America","Hispanic"
"04/02/2013","Student loan","Sallie Mae","Hispanic"
"05/08/2013","Mortgage","Green Tree Servicing, LLC","Hispanic"
"09/15/2012","Consumer loan","Capital One","Hispanic"
"01/15/2013","Mortgage","Wells Fargo","Hispanic"
"07/09/2012","Mortgage","Ocwen","Hispanic"
"01/16/2013","Mortgage","Ocwen","Hispanic"
"04/10/2012","Mortgage","Bank of America","Hispanic"
"08/02/2012","Mortgage","Bank of America","Hispanic"
"03/18/2013","Mortgage","JPMorgan Chase","Hispanic"
"06/22/2012","Mortgage","Bank of America","Hispanic"
"02/16/2012","Mortgage","Bank of America","Hispanic"
"07/24/2013","Credit reporting","Equifax","Hispanic"
"05/09/2013","Mortgage","Bank of America","Hispanic"
"07/23/2012","Mortgage","Ocwen","Hispanic"
"12/19/2012","Mortgage","Wells Fargo","Hispanic"
"08/10/2013","Credit reporting","TransUnion","Hispanic"
"07/24/2013","Credit card","Wells Fargo","Hispanic"
"05/08/2012","Credit card","RBS Citizens","Hispanic"
"03/14/2013","Credit reporting","Experian","Hispanic"
"04/27/2012","Mortgage","Bank of America","Hispanic"
"03/07/2013","Mortgage","Bank of America","Hispanic"
"03/21/2013","Credit reporting","Experian","Hispanic"
"03/14/2013","Mortgage","Ocwen","Hispanic"
"03/13/2013","Mortgage","JPMorgan Chase","Hispanic"
"06/28/2012","Mortgage","Ocwen","Hispanic"
"11/29/2012","Mortgage","Ocwen","Hispanic"
"05/21/2013","Credit reporting","TransUnion","Mixed"
"08/09/2012","Mortgage","Other","Mixed"
"08/28/2013","Student loan","Sallie Mae","Mixed"
"11/05/2012","Mortgage","Wells Fargo","Mixed"
"10/19/2012","Mortgage","Citibank","Mixed"
"11/22/2013","Credit reporting","Equifax","Mixed"
"06/11/2013","Credit card","Capital One","Mixed"
"10/15/2012","Credit card","Bank of America","Mixed"
"10/30/2013","Credit card","Capital One","Mixed"
"08/15/2013","Mortgage","Bank of America","Mixed"
"02/27/2012","Credit card","Citibank","Mixed"
"03/26/2012","Bank account or service","Bank of America","Mixed"
"03/11/2013","Mortgage","Bank of America","Mixed"
"07/05/2013","Mortgage","Bank of America","Mixed"
"09/16/2013","Mortgage","Nationstar Mortgage","Mixed"
"07/26/2013","Mortgage","JPMorgan Chase","Mixed"
"11/07/2013","Bank account or service","JPMorgan Chase","Mixed"
"06/11/2012","Mortgage","JPMorgan Chase","Mixed"
"02/24/2013","Credit card","Bank of America","Mixed"
"01/17/2012","Mortgage","Bank of America","Mixed"
"12/13/2011","Mortgage","Bank of America","Mixed"
"05/21/2013","Credit reporting","Experian","Mixed"
"06/04/2012","Mortgage","Bank of America","Mixed"
"11/06/2013","Consumer loan","Nationstar Mortgage","Mixed"
"12/13/2012","Credit reporting","Equifax","Mixed"
"11/13/2013","Mortgage","Other","Mixed"
"08/28/2012","Mortgage","Green Tree Servicing, LLC","Mixed"
"10/03/2013","Mortgage","Nationstar Mortgage","Mixed"
"02/12/2013","Mortgage","Wells Fargo","Mixed"
"03/18/2013","Mortgage","Wells Fargo","Mixed"
"04/16/2013","Mortgage","Ocwen","Mixed"
"05/17/2013","Bank account or service","OneWest Bank","Mixed"
"02/12/2013","Mortgage","Other","Mixed"
"06/09/2013","Mortgage","Bank of America","Mixed"
"10/21/2013","Mortgage","Ocwen","Mixed"
"05/21/2013","Credit card","Other","Mixed"
"04/09/2013","Bank account or service","Bank of America","Mixed"
"01/18/2013","Mortgage","Bank of America","Mixed"
"09/24/2013","Mortgage","Other","Mixed"
"12/13/2012","Credit reporting","TransUnion","Mixed"
"07/24/2013","Bank account or service","JPMorgan Chase","Mixed"
"07/01/2013","Student loan","Wells Fargo","Mixed"
"03/15/2013","Mortgage","Wells Fargo","Mixed"
"10/22/2013","Mortgage","JPMorgan Chase","Mixed"
"05/13/2013","Mortgage","Wells Fargo","Mixed"
"07/23/2012","Mortgage","Nationstar Mortgage","Mixed"
"04/29/2013","Bank account or service","JPMorgan Chase","Mixed"
"06/25/2013","Credit card","Bank of America","Mixed"
"02/21/2012","Credit card","Capital One","Mixed"
"02/21/2012","Credit card","Capital One","Mixed"
"08/12/2013","Mortgage","JPMorgan Chase","Mixed"
"01/30/2012","Credit card","Wells Fargo","Mixed"
"06/18/2012","Credit card","Bank of America","Mixed"
"11/23/2012","Bank account or service","Bank of America","Mixed"
"06/03/2013","Mortgage","U.S. Bancorp","Mixed"
"04/12/2012","Credit card","JPMorgan Chase","Mixed"
"12/13/2012","Bank account or service","Wells Fargo","Mixed"
"01/30/2012","Credit card","JPMorgan Chase","Mixed"
"03/18/2013","Bank account or service","JPMorgan Chase","Mixed"
"03/19/2013","Bank account or service","Bank of America","Mixed"
"04/02/2013","Mortgage","Ocwen","Hispanic"
"05/06/2013","Mortgage","Select Portfolio Servicing, Inc","Hispanic"
"11/13/2013","Mortgage","Wells Fargo","Hispanic"
"01/03/2013","Credit reporting","Experian","Hispanic"
"04/29/2013","Student loan","Citibank","Hispanic"
"04/25/2013","Mortgage","JPMorgan Chase","Hispanic"
"05/22/2012","Mortgage","JPMorgan Chase","Hispanic"
"08/31/2013","Credit card","Citibank","Hispanic"
"11/15/2012","Bank account or service","Bank of America","Hispanic"
"08/17/2013","Bank account or service","Other","Hispanic"
"11/01/2013","Mortgage","Ocwen","Hispanic"
"11/15/2012","Bank account or service","Wells Fargo","Hispanic"
"03/24/2013","Bank account or service","Bank of America","Hispanic"
"08/16/2013","Credit card","Other","Hispanic"
"11/15/2012","Student loan","Wells Fargo","Hispanic"
"02/28/2013","Bank account or service","JPMorgan Chase","Hispanic"
"10/23/2012","Credit reporting","TransUnion","Hispanic"
"03/24/2013","Bank account or service","Citibank","Hispanic"
"04/16/2012","Credit card","Wells Fargo","Hispanic"
"03/28/2013","Credit card","GE Capital Retail","Hispanic"
"03/24/2013","Bank account or service","JPMorgan Chase","Hispanic"
"01/14/2013","Mortgage","Bank of America","Hispanic"
"03/28/2013","Credit card","GE Capital Retail","Hispanic"
"05/23/2012","Mortgage","Wells Fargo","Hispanic"
"03/27/2012","Mortgage","Bank of America","Hispanic"
"07/02/2013","Credit reporting","Experian","Hispanic"
"03/16/2012","Mortgage","Bank of America","Hispanic"
"03/24/2013","Credit card","Discover","Hispanic"
"02/13/2012","Credit card","Discover","White"
"02/06/2012","Mortgage","JPMorgan Chase","White"
"12/18/2012","Credit reporting","TransUnion","White"
"01/10/2013","Mortgage","Wells Fargo","White"
"10/17/2013","Mortgage","JPMorgan Chase","White"
"08/09/2012","Credit card","JPMorgan Chase","White"
"03/15/2013","Credit card","Amex","White"
"05/29/2012","Mortgage","Wells Fargo","White"
"04/25/2013","Credit reporting","Equifax","White"
"04/03/2013","Mortgage","Wells Fargo","White"
"06/12/2013","Bank account or service","Wells Fargo","White"
"03/22/2013","Credit card","Bank of America","White"
"09/18/2012","Consumer loan","Other","White"
"08/29/2012","Credit card","Bank of America","White"
"01/25/2013","Credit reporting","TransUnion","White"
"11/26/2012","Mortgage","Nationstar Mortgage","White"
"04/10/2013","Bank account or service","Bank of America","White"
"11/27/2012","Credit card","GE Capital Retail","White"
"07/17/2013","Mortgage","Other","White"
"01/16/2013","Credit reporting","TransUnion","White"
"09/22/2013","Credit reporting","Equifax","White"
"12/18/2012","Mortgage","Citibank","White"
"07/24/2012","Mortgage","JPMorgan Chase","White"
"04/17/2013","Credit reporting","Experian","White"
"09/22/2013","Credit reporting","TransUnion","White"
"01/21/2012","Mortgage","Green Tree Servicing, LLC","White"
"09/22/2013","Credit reporting","Experian","White"
"03/29/2013","Mortgage","Ocwen","White"
"05/03/2012","Bank account or service","Wells Fargo","White"
"11/05/2012","Mortgage","Bank of America","White"
"12/12/2011","Credit card","JPMorgan Chase","White"
"06/21/2012","Mortgage","Bank of America","White"
"06/06/2013","Mortgage","Wells Fargo","White"
"10/02/2013","Bank account or service","Other","White"
"02/14/2013","Credit card","Citibank","White"
"06/29/2012","Credit card","Citibank","White"
"09/26/2012","Bank account or service","Bank of America","White"
"01/25/2013","Mortgage","Ocwen","White"
"01/02/2013","Credit card","Amex","White"
"08/14/2013","Mortgage","Sovereign Bank","White"
"03/29/2013","Mortgage","Nationstar Mortgage","White"
"05/23/2013","Mortgage","JPMorgan Chase","White"
"06/05/2013","Student loan","Sallie Mae","White"
"08/22/2013","Mortgage","Wells Fargo","White"
"10/07/2012","Bank account or service","Bank of America","White"
"10/24/2013","Credit reporting","Experian","White"
"02/15/2013","Credit card","Bank of America","White"
"04/11/2012","Credit card","Citibank","White"
"07/17/2012","Student loan","Wells Fargo","White"
"06/05/2013","Student loan","Citibank","White"
"05/20/2012","Bank account or service","Bank of America","White"
"12/12/2011","Credit card","Citibank","White"
"02/24/2013","Mortgage","Wells Fargo","White"
"04/05/2012","Bank account or service","JPMorgan Chase","White"
"07/26/2012","Credit card","U.S. Bancorp","White"
"04/04/2013","Credit reporting","Equifax","White"
"03/06/2013","Credit card","Discover","White"
"05/15/2012","Mortgage","OneWest Bank","White"
