state,entity
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Dunkin Donuts"
"AR","Starbucks"
"AR","Starbucks"
"AR","Dunkin Donuts"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Dunkin Donuts"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Dunkin Donuts"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Starbucks"
"AR","Dunkin Donuts"
"AR","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Dunkin Donuts"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Dunkin Donuts"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"AZ","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Dunkin Donuts"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
"CA","Starbucks"
